model,factor,level,coef,relativity,std_err,z,p_value,is_base,degenerate
frequency,VehBrand,B4,-0.009643686875680613,0.9904026643540178,0.03338485869398013,-0.2888640914756826,0.7726853836846908,False,False
frequency,VehBrand,B5,0.05041862683258946,1.0517112787949503,0.028062243842013238,1.7966712539610066,0.07238782511409797,False,False
frequency,VehBrand,B6,-0.015090363382177655,0.9850229255782412,0.03191754283007157,-0.4727921401255254,0.6363614821775916,False,False
frequency,VehGas,Regular,0.07697247645531193,1.0800123502153325,0.01268111637142105,6.069850177290532,1.2802963421336392e-09,False,False
frequency,Region,Aquitaine,-0.07034419413390411,0.9320729506464743,0.10242265758636714,-0.6868030550231221,0.4922068443710629,False,False
frequency,Region,Auvergne,-0.29490492067696644,0.7446023803906411,0.12747487930328236,-2.3134355748268036,0.02069870305982218,False,False
frequency,Region,Basse-Normandie,0.04073799544694354,1.041579171306783,0.10753100720103921,0.3788488223752993,0.7048001299781956,False,False
frequency,Region,Bourgogne,0.05231306757947564,1.053705571934107,0.10943473756893624,0.4780298170544071,0.6326289830032727,False,False
frequency,Region,Bretagne,0.12541133577325803,1.1336146534378564,0.10029442448990895,1.2504317803416498,0.21114186132702983,False,False
frequency,Region,Centre,0.09621547923319726,1.100996280269696,0.09885639860123513,0.9732852965978382,0.3304115280373774,False,False
frequency,Region,Champagne-Ardenne,0.18542984468816445,1.2037357483560178,0.13104667994262356,1.4149907862553373,0.15707119751206836,False,False
frequency,Region,Corse,0.1515518312023104,1.1636386130350287,0.12121576521107413,1.2502650207125434,0.21120275178723402,False,False
frequency,Region,Franche-Comte,-0.11257014072660045,0.893534671739375,0.1800138843212377,-0.6253414349179711,0.5317469907834751,False,False
frequency,Region,Haute-Normandie,-0.10055670794770627,0.9043338280432388,0.11798056141134176,-0.8523158963205231,0.3940387855103723,False,False
frequency,Region,Ile-de-France,-0.032425364791825007,0.9680947010845774,0.10014893142099536,-0.3237714504962487,0.746111072105243,False,False
frequency,Region,Languedoc-Roussillon,-0.040621827889663724,0.9601921791986574,0.10206691074779789,-0.39799213664885164,0.6906359820548393,False,False
frequency,Region,Limousin,0.188446648366503,1.2073726659642847,0.12063544101676807,1.5621167940216616,0.11826047727054709,False,False
frequency,Region,Midi-Pyrenees,-0.09823184102264809,0.9064387297093159,0.10675027845130575,-0.9202021994486567,0.3574671051647287,False,False
frequency,Region,Nord-Pas-de-Calais,-0.08751915395772479,0.9162013226014107,0.10124507488409426,-0.8644287542669808,0.38735240269576465,False,False
frequency,Region,Pays-de-la-Loire,0.02788798680039032,1.0282804969817254,0.10093670487679365,0.27629182896777965,0.782323931296786,False,False
frequency,Region,Picardie,0.09066667303939645,1.0949039834090908,0.11130058731530729,0.8146109129015078,0.4152950618280483,False,False
frequency,Region,Poitou-Charentes,-0.026794993353730343,0.9735608075035477,0.10441671860470902,-0.2566159300137395,0.7974752763484567,False,False
frequency,Region,Provence-Alpes-Cotes-D'Azur,-0.009017782650214416,0.9910227556051734,0.09937806430689762,-0.09074218453647734,0.9276974504673919,False,False
frequency,Region,Rhone-Alpes,0.09609876417561176,1.1008677849242596,0.09905010054454577,0.9702036004738157,0.33194501641216734,False,False
frequency,LogDensity,+1 log(Density),0.028146534612379665,1.028546391026012,0.014121448611363278,1.9931761526031155,0.04624216147130753,False,False
frequency,Area,A,0.0,1.0,,,,True,False
frequency,VehPowerBand,4-,0.0,1.0,,,,True,False
frequency,VehAgeBand,0,0.0,1.0,,,,True,False
frequency,DrivAgeBand,18-20,0.0,1.0,,,,True,False
frequency,BonusMalusBand,50,0.0,1.0,,,,True,False
frequency,VehBrand,B1,0.0,1.0,,,,True,False
frequency,VehGas,Diesel,0.0,1.0,,,,True,False
frequency,Region,Alsace,0.0,1.0,,,,True,False
severity,Intercept,"(base mean, log scale)",7.527471647766463,1858.4008665911958,0.2758288607071514,27.290369936155482,5.518721122754972e-164,False,False
severity,Area,B,-0.01405788075783241,0.9860404698414746,0.06379307834629395,-0.22036686615937698,0.8255854481170029,False,False
severity,Area,C,-0.13918281212905853,0.8700689547603464,0.0817751853306146,-1.7020176911412261,0.08875205194768429,False,False
severity,Area,D,-0.10081795344797127,0.9040976057572733,0.12318494673984773,-0.8184275442427804,0.4131130991005113,False,False
severity,Area,E,-0.11298398877401758,0.8931649606675554,0.16407621352456944,-0.6886067538186996,0.4910707697552569,False,False
severity,Area,F,-0.3016565275742368,0.7395920507442104,0.22743155895596204,-1.326361780919978,0.1847198918793722,False,False
severity,VehPowerBand,5,-0.0417401982581566,0.9591189289748714,0.0459589634584218,-0.9082058235695016,0.3637694878715262,False,False
severity,VehPowerBand,6,0.061023701641308964,1.0629241069345605,0.04480472896672602,1.361992429116754,0.17320027441938435,False,False
severity,VehPowerBand,7,0.035345670245610694,1.035977753597875,0.044386338883143465,0.7963186677474287,0.4258468379049931,False,False
severity,VehPowerBand,8-9,0.01705058880042404,1.0171967797885288,0.05249020021994535,0.32483375428133954,0.745306896445799,False,False
severity,VehPowerBand,10-15,0.06626015966669496,1.0685046628262433,0.05564587659819981,1.190746982838231,0.23375292764447586,False,False
