factor,level,policies,exposure,claimnb,freq_hat,actual_loss,model_premium,n_claims,claim_amount,obs_frequency,pred_frequency,obs_severity,pred_severity,loss_ratio
BonusMalusBand,81-100,14685,5736.260145195,1023,1024.0326388285014,1691288.2,1937853.9533247913,827,1691288.2,0.17833919210531618,0.17851921163064513,2045.0885126964934,1892.3751839997074,0.87276350062307
BonusMalusBand,101-150,1562,714.071434234,249,279.91319122526124,539206.8099999999,503353.33479335037,233,539206.8099999999,0.3487046086181948,0.3919960634268058,2314.192317596566,1798.2479946372903,1.0712292394394667
VehBrand,B1,32541,19050.023003182,1691,1736.3190734205643,2873869.37,2867138.3035961166,1363,2873869.37,0.08876629701274091,0.09114524812545056,2108.488165810712,1651.2738629011476,1.0023476601723191
VehBrand,B10,3549,1876.554507819,148,172.54399982839712,513874.73,310843.19106951397,131,513874.73,0.07886794621916471,0.09194723580341614,3922.7078625954196,1801.529994544358,1.6531638612765431
VehBrand,B11,2668,1355.971601163,147,139.60571595920388,337416.39,246274.95337465478,138,337416.39,0.10840935007334956,0.10295622403851658,2445.046304347826,1764.0749999564646,1.3700800076355837
VehBrand,B12,33279,12922.365456959,1769,1776.5537316073169,2105739.68,3229577.5948030157,837,2105739.68,0.1368944413383195,0.13747898846573794,2515.818016726404,1817.8890609073173,0.6520170573973892
VehBrand,B13,2397,1338.1003361,122,130.10655694153957,156388.38999999998,231524.82475310765,100,156388.38999999998,0.09117402986055494,0.09723228776755671,1563.8838999999998,1779.5015885105474,0.6754713675596934
VehBrand,B14,783,441.143798187,26,34.88155085591468,66079.07,48451.80052488558,21,66079.06999999999,0.05893769810853977,0.07907070438090678,3146.622380952381,1389.0380254314255,1.3638104112572824
VehBrand,B2,32033,19008.454587884,1777,1704.4100711483566,2712839.18,2826467.9309002683,1434,2712839.18,0.09348471711806917,0.0896658938404571,1891.7985913528591,1658.3262319002365,0.959798322967678
VehBrand,B3,10623,5690.795734695,567,560.350356602518,1066306.7,947617.405431081,487,1066306.7,0.09963457246289452,0.09846608149827576,2189.5414784394247,1691.1159139375172,1.1252502263979902
VehBrand,B4,5074,2761.445453994,260,266.1096945860003,279884.58999999997,448304.4144762345,218,279884.58999999997,0.09415358888365893,0.09636608762310118,1283.8742660550456,1684.6602119238212,0.6243181663223109
VehBrand,B5,6946,4034.320041913,424,406.2417511707904,565896.0599999999,669524.3939123983,331,565896.06,0.10509825586344584,0.10069646110132553,1709.6557703927494,1648.0935107797911,0.8452209734930775
